"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","2. Invalid Email Format","webkit","2026-03-23","skipped","2026-03-23","Registration Module - 15 Test Cases","register.spec.js","",""
"","1","3. Password too short","chromium","2026-03-23","skipped","2026-03-23","Registration Module - 15 Test Cases","register.spec.js","",""
"","0","7. Empty Password","webkit","2026-03-23","skipped","2026-03-23","Registration Module - 15 Test Cases","register.spec.js","",""
"","0","11. Long Name Input","firefox","2026-03-23","skipped","2026-03-23","Registration Module - 15 Test Cases","register.spec.js","",""
"","0","12. Special Characters Name","chromium","2026-03-23","skipped","2026-03-23","Registration Module - 15 Test Cases","register.spec.js","",""
"","0","4. Empty Fields","chromium","2026-03-23","skipped","2026-03-23","Registration Module - 15 Test Cases","register.spec.js","",""
"","0","8. Duplicate Email","chromium","2026-03-23","skipped","2026-03-23","Registration Module - 15 Test Cases","register.spec.js","",""
"","0","3. Password too short","webkit","2026-03-23","skipped","2026-03-23","Registration Module - 15 Test Cases","register.spec.js","",""
"","1510","1. Valid Registration","chromium","2026-03-23","passed","2026-03-23","Registration Module - 15 Test Cases","register.spec.js","",""
"","715","15. SQL Injection","firefox","2026-03-23","passed","2026-03-23","Registration Module - 15 Test Cases","register.spec.js","",""
"","0","2. Invalid Email Format","firefox","2026-03-23","skipped","2026-03-23","Registration Module - 15 Test Cases","register.spec.js","",""
"","0","13. Uppercase Email","firefox","2026-03-23","skipped","2026-03-23","Registration Module - 15 Test Cases","register.spec.js","",""
"","4","9. Email with spaces","webkit","2026-03-23","skipped","2026-03-23","Registration Module - 15 Test Cases","register.spec.js","",""
"","0","12. Special Characters Name","firefox","2026-03-23","skipped","2026-03-23","Registration Module - 15 Test Cases","register.spec.js","",""
"","0","5. Empty Name","webkit","2026-03-23","skipped","2026-03-23","Registration Module - 15 Test Cases","register.spec.js","",""
"","0","4. Empty Fields","firefox","2026-03-23","skipped","2026-03-23","Registration Module - 15 Test Cases","register.spec.js","",""
"","0","5. Empty Name","firefox","2026-03-23","skipped","2026-03-23","Registration Module - 15 Test Cases","register.spec.js","",""
"","0","14. Multiple Click Register","webkit","2026-03-23","skipped","2026-03-23","Registration Module - 15 Test Cases","register.spec.js","",""
"","1251","1. Valid Registration","firefox","2026-03-23","passed","2026-03-23","Registration Module - 15 Test Cases","register.spec.js","",""
"","0","12. Special Characters Name","webkit","2026-03-23","skipped","2026-03-23","Registration Module - 15 Test Cases","register.spec.js","",""
"","971","get started link","firefox","2026-03-23","passed","2026-03-23","","example.spec.js","",""
"","0","3. Password too short","firefox","2026-03-23","skipped","2026-03-23","Registration Module - 15 Test Cases","register.spec.js","",""
"","0","11. Long Name Input","chromium","2026-03-23","skipped","2026-03-23","Registration Module - 15 Test Cases","register.spec.js","",""
